parameter,perturbation,net_return,profitable
fast_1,-50%,4.5248896294167703740000,True
fast_1,base,4.5377001681207863760000,True
fast_1,+50%,4.6462801287613814240000,True
slow_1,-50%,4.6316515066137133240000,True
slow_1,base,4.5377001681207863760000,True
slow_1,+50%,4.2138055356316494800000,True
fast_2,-50%,4.1597466343677990660000,True
fast_2,base,4.5377001681207863760000,True
fast_2,+50%,4.8403013660507184300000,True
slow_2,-50%,4.6624453416965088600000,True
slow_2,base,4.5377001681207863760000,True
slow_2,+50%,4.6377606251487749300000,True
fast_3,-50%,4.6727632579110430900000,True
fast_3,base,4.5377001681207863760000,True
fast_3,+50%,4.3557153968381825660000,True
slow_3,-50%,4.1882052969344187620000,True
slow_3,base,4.5377001681207863760000,True
slow_3,+50%,3.9218167051773424900000,True
breakout_days,-50%,4.3193214589937559240000,True
breakout_days,base,4.5377001681207863760000,True
breakout_days,+50%,4.3338630288222918280000,True
breakout_decay,-50%,2.9559374516317342740000,True
breakout_decay,base,4.5377001681207863760000,True
breakout_decay,+50%,3.6242907267797454600000,True
